,2000,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ratio of exports of goods and commercial services to imports of goods and commercial services (%),,,,,,,,,,,
Brazil,116.6,124.2,112.6,96.4,93.8,98.5,104.6,96.8,97.0,98.9,…
China,112.8,109.9,117.9,113.2,109.8,103.4,105.3,115.1,114.9,118.4,112.4
Egypt,…,63.7,55.3,49.2,61.1,67.6,67.8,55.3,62.0,78.5,82.9
Ethiopia,…,…,…,…,…,…,…,…,…,…,…
India(2),93.3,88.5,89.5,91.6,85.5,84.1,87.3,97.3,89.0,86.5,90.8
Iran,…,…,…,…,…,…,…,…,…,…,…
Russia,189.0,131.2,139.5,124.9,125.4,148.0,136.7,125.1,145.8,184.5,122.8
South Africa,111.9,95.1,95.5,101.6,104.4,101.9,101.9,118.9,124.8,106.2,101.0
UAE,…,146.4,133.3,133.2,133.9,142.2,132.3,117.8,122.3,121.9,115.9